[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=51331 | powershell.exe | USER:Artemis UID:4086 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=14193 | chrome.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=11521 | java.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=56218 | explorer.exe | USER:Apollo UID:731 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=80628 | cmd.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=26850 | diskpart.exe | USER:Demeter UID:1507 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=28731 | wmic.exe | USER:Athena UID:314 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=82378 | mvn.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=23909 | git.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=74401 | ipconfig.exe | USER:Ares UID:98 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=34314 | ssh.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=17757 | python.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=92499 | control.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=26162 | regedit.exe | USER:Artemis UID:4086 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=52882 | taskmgr.exe | USER:Hera UID:87 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=23186 | cmd.exe | USER:Hera UID:87 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=25102 | java.exe | USER:Apollo UID:731 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=44977 | regedit.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=8604 | git.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=94444 | chrome.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=37812 | gradle.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=26362 | python.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=82260 | notepad.exe | USER:Ares UID:98 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=93803 | wmic.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=77474 | control.exe | USER:Artemis UID:4086 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=22932 | docker.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=87309 | notepad.exe | USER:Demeter UID:1507 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=57818 | java.exe | USER:Hermes UID:642 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=35113 | ssh.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=80030 | python.exe | USER:Apollo UID:731 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=75564 | docker.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=14250 | ipconfig.exe | USER:Prometheus UID:1024 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=16716 | regedit.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=90367 | chrome.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=78219 | node.exe | USER:Hermes UID:642 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=57104 | mvn.exe | USER:Apollo UID:731 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=17245 | calc.exe | USER:Demeter UID:1507 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=93048 | cmd.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=21677 | ipconfig.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=25896 | powershell.exe | USER:Hera UID:87 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=21904 | calc.exe | USER:Artemis UID:4086 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=43216 | diskpart.exe | USER:Cronos UID:333 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=45364 | regedit.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=90618 | explorer.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=74550 | taskmgr.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=15431 | calc.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=72587 | chrome.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=43278 | ssh.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=71958 | services.exe | USER:Prometheus UID:1024 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=56672 | java.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=71116 | diskpart.exe | USER:Demeter UID:1507 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=93201 | notepad.exe | USER:Ares UID:98 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=11760 | gradle.exe | USER:Artemis UID:4086 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=57848 | ssh.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=74481 | git.exe | USER:Hermes UID:642 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=38998 | ftp.exe | USER:Prometheus UID:1024 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=71817 | calc.exe | USER:Poseidon UID:56 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=64768 | wmic.exe | USER:Demeter UID:1507 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=89568 | notepad.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=94402 | java.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=28216 | explorer.exe | USER:Apollo UID:731 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=50806 | git.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=27954 | chrome.exe | USER:Apollo UID:731 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=54364 | regedit.exe | USER:Hermes UID:642 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=11598 | ssh.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=16417 | ssh.exe | USER:Hermes UID:642 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=67833 | wmic.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=40862 | control.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=16806 | ping.exe | USER:Demeter UID:1507 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=47273 | netstat.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=32042 | wmic.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=17404 | control.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=97338 | regedit.exe | USER:Hermes UID:642 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=51644 | explorer.exe | USER:Artemis UID:4086 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=56964 | cmd.exe | USER:Hera UID:87 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=26447 | chrome.exe | USER:Hermes UID:642 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=90517 | control.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=45091 | java.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=31495 | git.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=59450 | docker.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=41824 | ipconfig.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=89486 | docker.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=8713 | calc.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=94358 | netstat.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=11517 | java.exe | USER:Hermes UID:642 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=16442 | python.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=70109 | python.exe | USER:Poseidon UID:56 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=49517 | netstat.exe | USER:Athena UID:314 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=28903 | calc.exe | USER:Apollo UID:731 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=35183 | cmd.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=32035 | docker.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=91625 | services.exe | USER:Cronos UID:333 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=3182 | mvn.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=43435 | notepad.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=21215 | docker.exe | USER:Artemis UID:4086 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=40390 | regedit.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=75455 | docker.exe | USER:Poseidon UID:56 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=15192 | explorer.exe | USER:Artemis UID:4086 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=96738 | powershell.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=24892 | wmic.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=30507 | git.exe | USER:Demeter UID:1507 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=95760 | ipconfig.exe | USER:Athena UID:314 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=16202 | docker.exe | USER:Demeter UID:1507 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=38897 | cmd.exe | USER:Artemis UID:4086 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=8500 | taskmgr.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=69688 | gradle.exe | USER:Artemis UID:4086 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=23457 | chrome.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=38014 | taskmgr.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=25724 | services.exe | USER:Prometheus UID:1024 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=52169 | diskpart.exe | USER:Apollo UID:731 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=79344 | notepad.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=94828 | control.exe | USER:Poseidon UID:56 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=11071 | taskmgr.exe | USER:Athena UID:314 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=51147 | services.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=98264 | ftp.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=2342 | wmic.exe | USER:Poseidon UID:56 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=75514 | gradle.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=70779 | ipconfig.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=15048 | node.exe | USER:Demeter UID:1507 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=85381 | docker.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=55019 | node.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=45113 | ping.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=37354 | regedit.exe | USER:Apollo UID:731 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=69989 | python.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=35562 | regedit.exe | USER:Hermes UID:642 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=48669 | explorer.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=34317 | ipconfig.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=36047 | chrome.exe | USER:Demeter UID:1507 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=39890 | services.exe | USER:Hermes UID:642 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=35581 | diskpart.exe | USER:Hermes UID:642 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=48088 | ipconfig.exe | USER:Demeter UID:1507 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=28643 | cmd.exe | USER:Apollo UID:731 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=46319 | mvn.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=50106 | cmd.exe | USER:Artemis UID:4086 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=44714 | powershell.exe | USER:Athena UID:314 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=80718 | git.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=34531 | powershell.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=75654 | notepad.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=94931 | explorer.exe | USER:Apollo UID:731 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=92415 | diskpart.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=66692 | mvn.exe | USER:Prometheus UID:1024 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=83306 | docker.exe | USER:Poseidon UID:56 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=69419 | ping.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=73493 | powershell.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=17564 | regedit.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=92804 | mvn.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=65112 | taskmgr.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=28295 | mvn.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=4186 | chrome.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=33377 | wmic.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=77132 | cmd.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=39435 | node.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=14033 | control.exe | USER:Ares UID:98 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=67431 | docker.exe | USER:Demeter UID:1507 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=75058 | mvn.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=69277 | chrome.exe | USER:Apollo UID:731 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=2482 | gradle.exe | USER:Hermes UID:642 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=97094 | netstat.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=6740 | netstat.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=26767 | ping.exe | USER:Hades UID:219 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=78279 | notepad.exe | USER:Poseidon UID:56 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=2380 | services.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=15097 | explorer.exe | USER:Zeus UID:25 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=65342 | docker.exe | USER:Cronos UID:333 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=30885 | node.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=47496 | explorer.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=84355 | powershell.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=77007 | gradle.exe | USER:Poseidon UID:56 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=26529 | netstat.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=47896 | diskpart.exe | USER:Zeus UID:25 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=553 | taskmgr.exe | USER:Artemis UID:4086 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=46223 | gradle.exe | USER:Artemis UID:4086 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=46291 | regedit.exe | USER:Artemis UID:4086 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=37071 | wmic.exe | USER:Prometheus UID:1024 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=2127 | ping.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=32221 | control.exe | USER:Prometheus UID:1024 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=13005 | java.exe | USER:Hades UID:219 | P=24
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=60897 | java.exe | USER:Hera UID:87 | P=18
[2026-06-19 20:11:13]: NEW PENDING PROCESS: PID=98632 | control.exe | USER:Apollo UID:731 | P=18
